taxpayer_type,mailing_city,mailing_province,province,city_municipality,barangay,property_type,class_code,zoning_classification,land_use,unit_no,lot_area_sqm,assessment_level,tax_rate,tax_amount,assessment_year,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment,due_month,due_quarter,log_outstanding_balance
Individual,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Tagurano,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2482,0.4,0.0111,13878.49,2022,4,3,2,1,47.8,9012.26,44.66,1,3.0,1.0,9.106452105361019
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Padada,Tulogan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,245,0.2,0.0115,2520.02,2023,19,8,3,1,57.4,2027.39,34.19,1,12.0,4.0,7.614997653914628
Company,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,Bobon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,75,0.2,0.0115,790.22,2023,3,4,1,0,18.4,224.06,79.85,0,12.0,4.0,5.416367033321851
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,  Matina Aplaya ,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,66,0.2,0.0114,1194.94,2021,1,1,0,0,0.0,280.41,66.21,0,9.0,3.0,5.63981268065158
Individual,Baganga,Davao Oriental,Davao Del Norte,Island Garden City of Samal,Poblacion,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,139,0.2,0.0117,2641.91,2022,4,5,2,1,77.5,1832.06,24.39,1,6.0,2.0,7.5137419805282075
Individual,City of Davao,Davao Del Sur,Davao De Oro,Maco,Gubatan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,116,0.2,0.013,1799.61,2021,17,8,3,2,94.0,2000.3,5.0,1,3.0,1.0,7.601552248383579
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Gov. Vicente Duterte,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1185,0.4,0.0122,4316.87,2024,16,8,2,1,51.5,2711.11,38.68,0,,,7.905482208709709
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Matanao,Manga,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,174,0.2,0.0126,1650.19,2021,10,8,2,1,50.9,905.38,50.45,0,3.0,1.0,6.809458644157027
Individual,City of Davao,Davao Del Sur,Davao Oriental,Governor Generoso,Crispin Dela Cruz,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 07D,53,0.25,0.014,2688.28,2022,2,1,1,0,26.5,296.79,35.92,0,6.0,2.0,5.696388540102489
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lamanan,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 24A,104,0.25,0.0138,7411.69,2024,12,8,4,2,101.4,9075.68,5.0,1,6.0,2.0,9.113463765966667
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Baganihan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,767,0.4,0.012,7965.46,2021,7,6,2,1,43.6,5251.9,36.52,1,3.0,1.0,8.56653558403185
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tapak,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,276,0.2,0.0127,6361.66,2023,16,8,2,1,38.0,3296.85,62.07,0,6.0,2.0,8.101026019974832
Individual,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Catalunan Grande,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,112,0.2,0.0108,2364.15,2022,17,8,1,1,30.4,1238.2,64.32,0,9.0,3.0,7.122221289102659
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Kiblawan,San Jose,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,392,0.5,0.018,46253.14,2021,5,6,2,1,49.9,30093.77,35.27,1,9.0,3.0,10.312106681487142
Individual,City of Mati,Davao Oriental,Davao Del Sur,City of Davao,Crossing Bayabas,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,286,0.2,0.0119,5706.41,2021,3,3,1,1,58.5,3177.84,15.59,1,6.0,2.0,8.064271629351646
Company,City of Davao,Davao Del Sur,Davao Del Sur,Bansalan,Tinongtongan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,512,0.5,0.0157,39902.17,2022,11,8,2,1,35.2,21802.36,71.96,0,3.0,1.0,9.98981936534098
Individual,Sarangani,Davao Occidental,Davao Del Sur,City of Davao,Barangay 4-A (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,265,0.2,0.0108,4080.39,2024,19,8,2,1,39.8,2405.26,69.24,0,9.0,3.0,7.785828953871615
Company,Island Garden City of Samal,Davao Del Norte,Davao Oriental,Manay,San Isidro,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,186,0.5,0.0158,27231.66,2023,19,8,2,0,20.3,7226.53,82.87,0,3.0,1.0,8.885652624694753
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 22-C (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,95,0.2,0.0144,1221.73,2021,10,8,1,1,29.4,650.06,60.36,0,3.0,1.0,6.478601803860172
Company,Maco,Davao De Oro,Davao Del Sur,City of Davao,Barangay 34-D (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3766,0.4,0.0126,19156.82,2021,14,8,2,0,21.5,5828.56,80.47,0,3.0,1.0,8.670696804798293
Company,City of Tagum,Davao Del Norte,Davao Del Sur,City of Davao,Talomo River,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,258,0.5,0.0173,38709.97,2024,16,8,1,1,28.0,21417.07,64.84,0,9.0,3.0,9.971990237234497
Individual,Malita,Davao Occidental,Davao Del Sur,City of Davao,Barangay 3-A (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,117,0.2,0.0106,2287.22,2021,14,8,2,1,34.0,1408.24,63.44,0,6.0,2.0,7.250805830963473
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Talomo River,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,146,0.2,0.0111,2035.42,2024,14,8,4,2,78.0,2301.82,5.0,1,9.0,3.0,7.741889737842974
Individual,Sulop,Davao Del Sur,Davao Del Sur,Kiblawan,  New Sibonga ,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,199,0.2,0.0111,2702.67,2022,8,7,2,1,45.1,1942.4,37.18,0,,,7.572194295405339
Individual,Manay,Davao Oriental,Davao Del Norte,Island Garden City of Samal,Linosutan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3758,0.4,0.0103,19643.88,2024,20,8,2,1,45.3,13404.97,47.77,0,12.0,4.0,9.50345540911143
Company,City of Panabo,Davao Del Norte,Davao Del Sur,Magsaysay,Mabini,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,253,0.45,0.0135,24316.47,2022,6,7,2,1,37.1,16867.32,59.36,0,6.0,2.0,9.733192585518852
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Binugao,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,2169,0.5,0.0176,234887.34,2023,3,2,1,1,44.9,113434.93,43.22,1,9.0,3.0,11.638993463125145
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Cadalian,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,466,0.2,0.0129,4752.0,2023,6,7,2,1,56.0,2718.8,36.1,1,9.0,3.0,7.908313627174858
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Digos,Lungag,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,74,0.2,0.0128,1238.81,2024,10,8,2,1,47.0,741.5,51.13,0,6.0,2.0,6.610022870676855
Individual,Carmen,Davao Del Norte,Davao Del Sur,City of Davao,Pampanga,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,217,0.2,0.0136,4864.53,2022,13,8,3,1,50.1,3827.7,35.85,1,,,8.25028059896932
Company,City of Davao,Davao Del Sur,Davao Del Norte,City of Panabo,Lower Panaga,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,196,0.2,0.0108,2126.05,2023,14,8,2,1,40.0,1160.83,54.3,0,9.0,3.0,7.057751627225394
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Tagum,Magugpo South,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 08B,38,0.25,0.0141,2050.01,2022,14,8,1,0,15.0,694.09,78.25,0,6.0,2.0,6.544041333583735
Individual,City of Davao,Davao Del Sur,Davao Occidental,Sarangani,Patuco,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1652,0.4,0.0122,7865.33,2021,14,8,3,1,56.6,6223.48,37.97,1,3.0,1.0,8.736245183707192
Individual,City of Davao,Davao Del Sur,Davao De Oro,Monkayo,Olaycon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,259,0.2,0.0106,2881.31,2022,5,6,3,2,93.0,2710.17,11.98,1,9.0,3.0,7.905135555020645
Individual,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Pampanga,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 14A,42,0.25,0.0117,1844.71,2023,14,8,2,1,45.3,969.89,39.82,0,9.0,3.0,6.878213176601149
Individual,New Corella,Davao Del Norte,Davao Del Sur,City of Davao,Ilang,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 13A,112,0.25,0.0116,5796.69,2023,6,6,2,1,37.5,3082.4,46.73,0,12.0,4.0,8.03378816322624
Company,City of Davao,Davao Del Sur,Davao Oriental,Caraga,San Luis,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1442,0.5,0.0175,125233.07,2021,14,8,2,1,50.3,67872.86,37.7,0,12.0,4.0,11.125406261515078
Individual,San Isidro,Davao Del Norte,Davao Del Sur,Sulop,Katipunan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,246,0.2,0.0106,3264.05,2023,5,5,3,1,71.0,2436.12,6.49,1,3.0,1.0,7.798572293282836
Individual,City of Digos,Davao Del Sur,Davao Del Sur,City of Davao,Inayangan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,269,0.2,0.0108,3583.43,2024,10,8,5,2,78.5,3976.28,5.0,1,3.0,1.0,8.288353447557146
Individual,Don Marcelino,Davao Occidental,Davao Del Sur,CITY OF DAVAO,Matina Pangi,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3398,0.4,0.01,28944.28,2024,5,5,3,1,55.1,21725.83,5.0,1,6.0,2.0,9.986303181338634
Company,City of Davao,Davao Del Sur,Davao De Oro,Nabunturan,Basak,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,310,0.2,0.0137,5600.74,2022,5,4,2,0,32.1,1460.43,55.43,0,12.0,4.0,7.287170687406988
Individual,City of Tagum,Davao Del Norte,Davao Oriental,Banaybanay,Panikian,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,224,0.2,0.0115,3434.79,2024,13,8,4,1,53.8,2874.36,5.0,1,9.0,3.0,7.963933162783712
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,Matanao,New Murcia,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,97,0.2,0.0109,1138.71,2021,18,8,3,1,51.9,887.97,31.37,1,9.0,3.0,6.790063489162725
Company,Jose Abad Santos,Davao Occidental,Davao De Oro,Compostela,Siocon,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,265,0.45,0.0144,23108.22,2023,16,8,4,1,72.0,17008.36,6.11,1,3.0,1.0,9.741519059755559
Individual,Jose Abad Santos,Davao Occidental,Davao Del Sur,City of Davao,Communal,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,226,0.2,0.0127,4901.76,2021,8,7,4,2,96.6,5194.18,5.0,1,9.0,3.0,8.555486551633749
Individual,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Camansi,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,190,0.2,0.0142,4860.38,2024,9,8,1,1,35.0,2513.34,64.51,0,9.0,3.0,7.82976562264694
Individual,Sulop,Davao Del Sur,Davao De Oro,Nabunturan,Mainit,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,115,0.2,0.0119,999.57,2023,15,8,1,0,17.8,227.02,95.84,0,12.0,4.0,5.429433344405574
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Sibulan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,197,0.2,0.0127,4794.96,2023,8,7,2,1,49.4,2492.28,49.25,0,3.0,1.0,7.821354391697304
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Santo Tomas,Salvacion,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,102,0.2,0.0143,1801.91,2022,6,5,2,0,40.3,683.1,49.48,0,6.0,2.0,6.528104105766952
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Bansalan,Tubod,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 15C,41,0.25,0.0116,1199.75,2023,6,5,2,0,24.2,504.73,67.75,0,12.0,4.0,6.226002930036065
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Panabo,San Pedro,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 20A,58,0.25,0.0122,1942.2,2021,11,8,3,1,57.3,1173.87,18.81,1,3.0,1.0,7.068912782159519
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Kiblawan,Abnate,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,836,0.2,0.0111,4879.63,2021,3,4,2,1,48.9,3517.59,48.49,1,12.0,4.0,8.16581562016146
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Bansalan,  Bitaug ,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,184,0.2,0.0112,2650.15,2021,5,6,1,0,21.1,305.07,86.51,0,12.0,4.0,5.723813833961155
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tigatto,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,322,0.2,0.0105,4107.09,2022,10,8,4,2,99.4,4350.03,5.0,1,12.0,4.0,8.378167877663584
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tawan-tawan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,207,0.2,0.0143,3334.35,2021,5,6,1,1,40.0,1522.4,46.58,0,9.0,3.0,7.328699957938688
Company,City of Davao,Davao Del Sur,Davao Del Norte,Santo Tomas,La Libertad,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,333,0.45,0.0147,40896.6,2024,4,3,1,0,21.0,10017.33,89.11,0,3.0,1.0,9.212171694081757
Company,City of Davao,Davao Del Sur,Davao Oriental,Manay,Rizal,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,608,0.5,0.0146,88094.05,2024,4,4,0,0,0.0,19932.82,91.46,0,12.0,4.0,9.900173065688298
Individual,City of Davao,Davao Del Sur,Davao Oriental,Governor Generoso,Oregon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,75,0.2,0.0138,1532.56,2021,10,8,1,1,28.4,759.49,71.91,0,3.0,1.0,6.633962962368977
Company,City of Davao,Davao Del Sur,Davao Oriental,Boston,Simulao,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,182,0.5,0.0141,24432.25,2023,9,8,1,1,26.3,12785.98,65.71,0,6.0,2.0,9.456182744721417
Individual,City of Davao,Davao Del Sur,Davao De Oro,Montevista,San Vicente,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 15D,30,0.25,0.0138,1459.06,2022,7,6,2,1,40.6,848.1,47.13,0,6.0,2.0,6.744176965005318
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,San Remigio,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2189,0.4,0.0104,8413.93,2022,4,3,0,0,0.0,724.99,78.8,0,6.0,2.0,6.587536240625249
Company,City of Davao,Davao Del Sur,Davao Del Sur,Kiblawan,Cogon-Bacaca,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1851,0.5,0.019,153832.39,2021,5,6,1,0,13.6,43333.38,80.74,0,12.0,4.0,10.676701594324063
Individual,Santa Cruz,Davao Del Sur,Davao De Oro,Maragusan,New Manay,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4533,0.4,0.0111,10615.5,2024,10,8,1,1,24.0,5651.46,70.57,0,12.0,4.0,8.63984612761227
Company,Santo Tomas,Davao Del Norte,Davao De Oro,Maco,Binuangan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,300,0.2,0.0122,3032.89,2023,12,8,2,1,48.9,1706.4,54.7,0,9.0,3.0,7.4427270245762065
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lumiad,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,569,0.5,0.0144,47889.15,2021,14,8,2,1,40.6,26188.01,65.75,0,9.0,3.0,10.173095136100008
Company,City of Davao,Davao Del Sur,Davao Del Sur,Sulop,Harada Butai,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,425,0.5,0.013,46535.26,2023,3,3,1,0,14.7,7801.09,80.8,0,9.0,3.0,8.962146925503786
Individual,Montevista,Davao De Oro,Davao De Oro,Maragusan,Talian,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1139,0.4,0.0109,5292.03,2022,14,8,3,0,32.0,1863.54,63.13,0,12.0,4.0,7.530769652861534
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lizada,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,402,0.4,0.0149,9171.87,2024,10,8,3,1,45.7,7554.23,28.24,1,9.0,3.0,8.929995317658406
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tugbok (Pob.),Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 03C,98,0.25,0.0123,3234.23,2021,4,3,1,1,34.4,1869.76,72.98,0,9.0,3.0,7.534100044395867
Individual,City of Davao,Davao Del Sur,Davao De Oro,Maragusan,Coronobe,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,724,0.2,0.0116,7204.73,2021,4,3,1,1,34.5,3871.12,66.25,0,,,8.26155743965177
Individual,City of Davao,Davao Del Sur,Davao De Oro,Mawab,Nueva Visayas,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,245,0.2,0.0126,4911.09,2022,12,8,3,1,54.5,4060.71,42.46,0,3.0,1.0,8.309359346189435
Company,Hagonoy,Davao Del Sur,Davao Del Sur,City of Davao,Bayabas,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,368,0.45,0.0125,29403.56,2023,16,8,3,1,54.1,18669.94,39.49,1,12.0,4.0,9.834723583420459
Individual,City of Davao,Davao Del Sur,Davao Occidental,Santa Maria,  Tanglad ,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,103,0.2,0.0123,1330.08,2023,7,8,2,1,53.8,702.53,38.44,0,3.0,1.0,6.556110519568459
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Rafael Castillo,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,317,0.2,0.0106,4290.45,2021,4,3,1,0,15.4,527.26,60.73,0,3.0,1.0,6.269588586747655
Individual,City of Davao,Davao Del Sur,Davao Del Norte,ISLAND GARDEN CITY OF SAMAL,Tagbay,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,226,0.5,0.0172,22521.2,2024,18,8,3,2,101.5,21530.36,5.0,1,6.0,2.0,9.977265756036429
Individual,New Corella,Davao Del Norte,Davao Del Sur,City of Digos,San Roque,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,507,0.4,0.0118,2787.33,2024,17,8,2,1,26.6,1480.6,63.96,0,,,7.300877863891915
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Hagonoy,Hagonoy Crossing,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,217,0.2,0.0125,4316.32,2023,11,8,3,1,58.3,2855.63,47.46,0,3.0,1.0,7.957397887368762
Individual,Sulop,Davao Del Sur,Davao Oriental,City of Mati,Libudon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,75,0.2,0.0124,1066.99,2024,5,5,1,1,30.7,619.77,56.38,0,9.0,3.0,6.430960642959063
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Wines,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,102,0.2,0.0126,2696.67,2024,7,8,2,1,45.7,1377.31,40.78,0,12.0,4.0,7.228613389988591
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bunawan (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,231,0.2,0.0124,6091.65,2024,17,8,2,1,59.3,3474.08,42.56,0,3.0,1.0,8.153372779316634
Company,City of Panabo,Davao Del Norte,Davao De Oro,Nabunturan,Anislagan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,111,0.2,0.0134,2290.27,2021,18,8,3,1,40.6,1909.7,45.39,0,9.0,3.0,7.5552249460454295
Company,Matanao,Davao Del Sur,Davao Del Sur,Sulop,Buguis,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,221,0.2,0.0109,3747.74,2024,20,8,3,1,53.4,2253.2,45.66,0,12.0,4.0,7.720550421807978
Individual,City of Digos,Davao Del Sur,Davao Del Sur,City of Digos,San Jose,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,531,0.5,0.0145,44463.79,2024,13,8,4,2,99.7,49275.23,5.0,1,12.0,4.0,10.805197093657627
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Buhangin (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,263,0.2,0.0112,3002.48,2023,9,8,3,1,84.3,2442.48,16.89,1,3.0,1.0,7.801178531696151
Individual,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,  Don Enrique Lopez ,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,116,0.2,0.0127,2190.6,2022,2,1,1,0,16.6,701.97,81.51,0,9.0,3.0,6.5553142166468925
Company,City of Davao,Davao Del Sur,Davao Del Sur,Matanao,Camanchiles,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,582,0.5,0.0158,34319.3,2023,9,8,2,1,32.7,19392.7,57.81,0,9.0,3.0,9.87270355004319
Individual,Santa Cruz,Davao Del Sur,Davao Del Sur,City of Davao,Marilog (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4675,0.4,0.0129,14153.15,2024,14,8,2,0,18.8,3790.21,71.78,0,3.0,1.0,8.240440508337176
Individual,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Calinan (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,310,0.2,0.0118,3444.7,2024,8,8,4,2,93.2,3736.49,5.0,1,3.0,1.0,8.226169542110078
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mandug,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,318,0.2,0.0103,1878.4,2023,8,8,1,1,28.3,1070.7,63.51,0,3.0,1.0,6.977001451718952
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Hagonoy,Lanuro,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,230,0.2,0.0106,3655.51,2022,19,8,2,1,34.2,2416.12,61.92,0,12.0,4.0,7.790332027795415
Individual,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,Cabuaya,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,264,0.2,0.0134,5541.17,2022,8,8,4,2,108.1,6083.16,5.0,1,12.0,4.0,8.71344395152122
Individual,Compostela,Davao De Oro,Davao De Oro,Maco,New Visayas,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,116,0.2,0.0131,1880.67,2021,2,3,1,1,35.7,779.15,57.64,0,9.0,3.0,6.659486208887191
Individual,City of Davao,Davao Del Sur,Davao De Oro,New Bataan,Fatima,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,296,0.2,0.011,2684.11,2022,3,4,2,2,77.0,2337.28,13.08,1,6.0,2.0,7.757170895340342
Company,City of Davao,Davao Del Sur,Davao Del Sur,CITY OF DAVAO,Tacunan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,536,0.4,0.015,19491.16,2022,9,8,2,1,47.0,14263.13,44.6,0,6.0,2.0,9.565503273354501
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Alfonso Angliongto Sr.,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,374,0.5,0.0139,61182.26,2022,6,6,2,0,37.6,26736.58,51.64,0,12.0,4.0,10.193825345438546
Individual,Monkayo,Davao De Oro,Davao Del Norte,City of Tagum,Visayan Village,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1895,0.4,0.0123,20959.53,2021,6,6,3,1,77.2,15389.57,5.0,1,9.0,3.0,9.641510263184108
